bathrooms,bedrooms,city,country,homeStatus,homeType,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isZillowOwned,latitude,longitude,livingArea,price,zestimate,rentZestimate,streetAddress,zipcode
3.0,3.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.58926,-78.578705,2536.0,460000.0,453000.0,2460.0,702 Adams Point Dr,27529
3.0,3.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,True,False,35.6116,-78.54357,1858.0,414900.0,414900.0,1858.0,"Graham Plan, Ford Meadows",27529
3.0,3.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.61547,-78.57643,3149.0,429900.0,428800.0,2400.0,77 Knoll Ct,27529
3.0,3.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,True,False,35.6377,-78.53748,2168.0,384000.0,382900.0,2194.0,"Fullerton Plan, Cornwallis Landing",27529
3.0,4.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.613228,-78.576256,2459.0,409900.0,408600.0,2096.0,59 Beacon Way,27529
3.0,5.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.59066,-78.58864,3011.0,419900.0,418100.0,2162.0,586 Airedale Trl,27529
1.0,2.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.700394,-78.617226,1068.0,289900.0,290400.0,1599.0,903 Aversboro Rd,27529
3.0,4.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.61871,-78.57186,2464.0,400000.0,398600.0,2299.0,96 Nutmeg Ln,27529
3.0,4.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.626972,-78.59502,2478.0,474900.0,474900.0,2478.0,5433 Fantasy Moth Dr,27529
2.0,3.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.577522,-78.567154,1339.0,332000.0,332000.0,1339.0,420 Danielle Dr,27529
2.0,3.0,Garner,USA,FOR_SALE,MANUFACTURED,False,True,False,False,False,35.680397,-78.53174,1782.0,1400000.0,248900.0,1505.0,4901 Tv Tower Rd,27529
3.0,4.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.587063,-78.58468,2748.0,480000.0,480000.0,2748.0,13 Maximus Cir,27529
3.0,4.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.629597,-78.59646,3123.0,625000.0,624000.0,3090.0,5536 Fantasy Moth Drive,27529
0.0,0.0,Garner,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,True,False,35.68625,-78.60817,0.0,0.0,0.0,1846.0,"Homes Available Soon, The Knoll at White Oak",27529
